"","wetWgtPerM","percDryWgt","dryWgtPerM","Ash","AshFDwPM","densityBlades","Indiv"
"grm4._59.1",-0.12067094911248,0.0017310818070993,-0.0617791984267378,0.00240405036616163,-0.0016526321857725,-0.0414109816416994,"SL18-SF-17-FG3xSL18-NL-10-MG2"
"grm4._60.1",0.0660611574020006,0.00228588006819595,-0.0143532434524046,0.0115774947705657,-0.0134381756355869,-0.0231200105490194,"SL18-SF-17-FG3xSL18-NL-2-MG3"
"grm4._61.1",-0.152084482207536,-0.00127465521477958,-0.0894396244585011,0.00193810601360278,-0.00256134320395611,0.130581652998799,"SL18-SF-17-FG3xSL18-NL-9-MG1"
"grm4._62.1",0.261459753550736,0.000582298881045359,0.0570616974724495,0.00702141419507838,0.0426944211838472,-0.130072532942349,"SL18-SF-17-FG3xSL18-OI-7-MG1"
"grm4._63.1",0.26074968683462,0.0116949135260081,0.0564130303679696,-0.00516804155225014,0.03091899161151,-0.0580140543197159,"SL18-SF-17-FG3xSL18-OI-9-MG3"
"grm4._64.1",-0.091206795306614,0.000875859258348137,-0.00692805254255901,-0.0155997948444655,0.0780324984912691,0.259536616778778,"SA18-CB-10-FG2xSL18-LL-9-MG1"
"grm4._65.1",-0.111539103454921,0.00316886804602024,-0.0135190749238019,-0.00612761666625099,-0.0128588361448199,0.00031068500834692,"SL18-LD-1-FG2xSL18-SF-13-MG3"
"grm4._66.1",0.343034734718993,0.00768609166890642,0.143571133718104,-0.0112993573900777,0.010417100756101,-0.156997951210224,"SL18-LD-1-FG2xSL18-SF-15-MG1"
"grm4._67.1",-0.513662482135041,0.00199262945805965,-0.180977291711471,-0.00183489807625886,-0.00261553324956512,0.0975300953085599,"SL18-LD-1-FG3xSL18-NL-5-MG1"
"grm4._68.1",-0.368695615890158,0.00157454363786726,-0.113123393949212,-0.00477860210058366,-0.00044896020329736,-0.00277222509603515,"SL18-LD-1-FG3xSL18-OI-11-MG2"
"grm4._69.1",0.0691602501501573,0.00802087653444439,0.0390929163105796,-0.0391189446914499,0.0227553688721367,-0.00897891018092626,"SL18-LD-1-FG3xSL18-OI-15-MG1"
"grm4._70.1",-0.275292724274113,0.0114526052309803,-0.116999806638323,0.0332997027525318,-0.0579603831840155,-0.0305930593961753,"SL18-LD-1-FG3xSL18-OI-16-MG1"
"grm4._71.1",-0.00139117146670686,0.0198331707634303,-0.0192284383635994,0.00261115336924491,0.0869036003446093,0.257676628669242,"SL18-LD-1-FG3xSL18-OI-6-MG2"
"grm4._72.1",-0.112978085326478,-0.000733947305393565,-0.0450357175373297,-0.00698387677485805,0.025562513931705,-0.0901073884834932,"SL18-LD-1-FG3xSL18-OI-7-MG1"
"grm4._73.1",-0.113688097230225,0.0103786672396347,-0.0456843848955671,-0.0191733162795748,0.0137870842703207,-0.0180489075807685,"SL18-LD-1-FG3xSL18-OI-9-MG3"
