"","bladeLength","bladeMaxWidth","bladeThickness","stipeLength","stipeDiameter","Indiv"
"grm4._77",-0.469464423838711,-0.0359675778966752,-0.0947319202242819,0.306916653588284,0.076476835420665,"SL18-LD-2-FG2xSL18-LL-9-MG2"
"grm4._78",-0.089869473241304,0.231394319350534,-0.0134556439778637,-0.0344015470687449,0.0916094438874783,"SL18-LD-2-FG2xSL18-NL-9-MG1"
"grm4._79",-0.377824528383693,-0.0129773623478079,-0.0364001028049031,-0.217740192243687,-0.141934305809151,"SL18-LD-2-FG2xSL18-SF-19-MG1"
"grm4._80",0.0391889005349506,0.429322660454655,0.0305814701930657,0.164822890747652,0.1179213460213,"SL18-LD-3-FG1xSL18-NL-9-MG1"
"grm4._81",0.120103437551579,0.52703287006486,0.0874917228694612,0.682432783795392,0.328720417467623,"SL18-LD-3-FG1xSL18-SF-19-MG2"
"grm4._82",0.321315357439604,-0.0703520308050749,-0.0221591769602944,0.158568337984405,-0.00600589749779048,"SL18-LD-3-FG2xSA18-CB-2-MG3"
"grm4._83",-0.30027850091091,-0.0462197135412559,-0.119994689505237,0.374357670911485,0.00927878344876667,"SL18-LD-3-FG2xSL18-LL-9-MG2"
"grm4._84",0.125892922116012,0.350554992436925,-0.0314528671985444,0.453562856350995,0.0924189878225775,"SL18-LD-3-FG2xSL18-SF-17-MG3"
"grm4._85",0.326030366363124,-0.126259934301301,0.0385167474097312,0.234552442341584,0.131059134497635,"SL18-LD-4-FG1xSA18-CB-2-MG1"
"grm4._86",-0.316290521377737,-0.446287426722506,-0.114301774467196,-0.222480669337618,-0.123926804257938,"SL18-LD-4-FG1xSL18-NL-3-MG2"
"grm4._87",-0.197122297858885,0.403586566671325,-0.0535509953629093,0.179511165613316,0.04853835522243,"SL18-LD-4-FG2xSL18-LL-9-MG1"
"grm4._88",-0.265128666209014,-0.0202092247825402,0.0208288164966311,0.858987550775541,0.231036592791908,"SL18-LD-4-FG2xSL18-SF-15-MG2"
"grm4._89",0.225961114791342,0.245319337781916,-0.0217340933312122,0.719613834080623,0.226393526385193,"SL18-LD-4-FG3xSL18-SF-17-MG1"
"grm4._90",0.152959045586112,0.0783278516335284,0.0128492644377836,-0.122395242267213,-0.125934629200053,"SL18-LD-5-FG1xSA18-CB-10-MG1"
"grm4._91",0.846149891766064,0.394699743849835,0.00306190384377241,0.714879270360346,0.286302262667758,"SA18-CB-7-FG1xSL18-LL-9-MG3"
"grm4._92",-0.232421721641922,0.419424204878733,-0.0516038271413688,-0.066853176332576,0.0407931086979434,"SL18-LD-9-FG2xSL18-SF-13-MG3"
"grm4._93",-0.0318319332853514,0.294927140816498,-0.0693331535766873,0.0322661832813479,0.211259188516112,"SL18-LD-9-FG3xSL18-NL-7-MG1"
"grm4._94",0.0376680136780421,0.154219242253524,-0.0759551442267633,0.665753086173317,0.291996557749504,"SL18-LD-9-FG3xSL18-SF-17-MG1"
"grm4._95",-0.312381962314837,-0.0229262025663623,0.0250327886499313,-0.373780417887042,-0.0752411110574211,"SL18-LL-9-FG3xSL18-NL-9-MG1"
"grm4._96",0.32236373241185,-0.386175554680152,0.0791015886103006,-0.337229473969546,-0.120135723266569,"SL18-NL-10-FG1xSA18-CB-4-MG3"
"grm4._97",-0.367287795922457,-0.200651258931622,-0.00667148454090113,-0.239740221297325,-0.0345026170850876,"SL18-NL-10-FG1xSL18-LD-2-MG1"
"grm4._98",0.428049983731817,-0.208631483530313,-0.0183917219314167,0.202333995978101,-0.0519664434098915,"SL18-LD-10-FG1xSA18-CB-1-MG2"
"grm4._99",-0.0422871168764679,-0.255097251688911,0.049496095420073,0.127430915242981,0.0411303714222811,"SL18-NL-10-FG1xSL18-OI-15-MG1"
"grm4._100",-0.152318323875773,-0.320637754297197,0.0590459613281499,-0.175712271303284,0.0129495151883687,"SL18-NL-10-FG1xSL18-OI-7-MG1"
"grm4._101",0.0770730382053702,0.015419643117886,0.0398024693265937,0.15500336757381,0.13022033073043,"SL18-NL-10-FG1xSL18-SF-13-MG1"
"grm4._102",-0.702130187524406,-0.665229360172921,-0.151941162447481,-1.20018389612129,-0.663408871214883,"SL18-NL-10-FG3xSL18-NL-3-MG2"
"grm4._103",0.595767834676526,-0.493888558635181,0.0967851973533144,0.0304477600146734,-0.00994244962258075,"SL18-NL-2-FG1xSA18-CB-1-MG2"
"grm4._104",-0.101299434213839,-0.174953898982676,-0.036078366554702,-0.615712649206297,-0.0694814638086798,"SL18-NL-2-FG1xSL18-LD-13-MG2"
"grm4._105",0.264235343058298,-0.031394302402982,-0.0495941900337768,0.40122643461399,0.201466148704418,"SL18-NL-2-FG1xSL18-SF-17-MG1"
"grm4._106",0.185272201232406,-0.3551932739738,0.0899898804401037,-0.501246639819241,-0.248894627820325,"SL18-NL-2-FG3xSA18-CB-2-MG3"
"grm4._107",0.0765202090741968,-0.411339677958448,0.0610638236405923,-0.820975676895092,-0.355763517286547,"SL18-NL-2-FG3xSA18-CB-4-MG1"
"grm4._108",-0.187342074805797,0.0102501816179349,-0.0218828761281667,-0.175681021440342,-0.148899965996031,"SL18-NL-2-FG3xSL18-LD-3-MG2"
"grm4._109",-0.135753453781549,-0.261296105510055,0.108105182056475,-0.388878055740048,-0.189202586304264,"SL18-NL-2-FG3xSL18-OI-16-MG1"
"grm4._110",0.245013589147939,-0.519097154722222,0.0096291730866053,-0.0396566205709002,-0.113662503814623,"SL18-NL-3-FG1xSA18-CB-7-MG2"
"grm4._111",0.0307306525829858,-0.0125491255781766,0.0871047267674473,-0.052683783061066,-0.0289446843139372,"SL18-NL-3-FG1xSL18-OI-11-MG2"
"grm4._112",-0.0423570094460066,0.0962848917260987,-0.051793297507496,-0.0279458046186164,0.0317169245106334,"SL18-NL-3-FG1xSL18-SF-13-MG2"
"grm4._113",-0.303703683723033,-0.286122671422724,0.067369087683349,0.836350660251498,0.196127696946652,"SL18-NL-3-FG2xSL18-SF-17-MG2"
