Accession	Female_Parent	Male_Parent	Cross_Type
SL18-CC-S3-MG15	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-MG16	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-MG2	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-MG3	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S3-MG6	SL18-CC-S3	SL18-CC-S3	self
SL18-CC-S4			
SL18-CC-S4-FG1	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-FG11	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-FG15	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-FG2	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-FG3	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-FG4	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-FG5	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-FG6	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG1	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG11	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG14	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG15	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG16	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG2	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG3	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG4	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG5	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S4-MG6	SL18-CC-S4	SL18-CC-S4	self
SL18-CC-S5			
SL18-CC-S5-FG1	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-FG14	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-FG15	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-FG2	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-FG3	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-FG4	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-FG 6/25/18	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-MG1	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-MG14	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-MG15	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-MG16	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-MG2	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S5-MG3	SL18-CC-S5	SL18-CC-S5	self
SL18-CC-S6			
SL18-CC-S6-FG1	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-FG11	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-FG2	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-FG3	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-FG4	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG1	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG11	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG14	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG15	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG16	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG2	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG3	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG4	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S6-MG6	SL18-CC-S6	SL18-CC-S6	self
SL18-CC-S7			
SL18-CC-S7-FG1	SL18-CC-S7	SL18-CC-S7	self
SL18-CC-S7-FG14	SL18-CC-S7	SL18-CC-S7	self
SL18-CC-S7-FG15	SL18-CC-S7	SL18-CC-S7	self
SL18-CC-S7-FG2	SL18-CC-S7	SL18-CC-S7	self
